exposure_id,pet_gender,pet_de_sexed,pet_de_sexed_age,pet_is_switcher,pet_age_months,nb_contribution,nb_excess,nb_address_type_adj,nb_suburb,nb_postcode,nb_state,person_dob,nb_contribution_excess,pet_age_years,owner_age_years,nb_number_of_breeds,nb_average_breed_size,nb_breed_type,nb_breed_trait,nb_breed_name_unique,nb_breed_name_unique_concat,is_multi_pet_plan,lead_date_day,quote_date,quote_time_group,Full_month_premium
exposure_000a0128-7995-4e26-91e2-fda217a5837d,male,FALSE,,,38,80,0,House,Rozelle,2039,NSW,,800,3 years,,1,2,purebred,sighthound,whippet,whippet,FALSE,0,2024-05-01 08:14:21,Morning (05:00 - 11:59),
exposure_000e4bc1-8623-43a5-a47f-3685d8d084be,male,TRUE,7-12 mo,FALSE,12,80,200,House,Byford,6122,WA,1996-11-11,80200,7-12 months,27,1,3,unnamed cross,unknown,rottweiler cross,rottweiler cross,FALSE,0,2024-07-01 12:37:24,Afternoon (12:00 - 17:59),
exposure_000f48d8-d205-4ea8-839d-cceadde43de8,female,FALSE,,FALSE,5,80,200,House,Carrum Downs,3201,VIC,1993-05-07,80200,0-6 months,31,2,3.5,cross,cross,cross,"labrador retriever cross, great dane cross",TRUE,0,2024-06-09 03:15:22,Late Night (00:00 - 04:59),
exposure_0015ad7c-fe8d-46fe-88a5-f15505d770cd,female,FALSE,,,3,80,200,House,Reservoir,3073,VIC,1986-07-24,80200,0-6 months,38,1,3,unnamed cross,unknown,american staffordshire terrier cross,american staffordshire terrier cross,FALSE,0,2024-08-09 13:53:38,Afternoon (12:00 - 17:59),
exposure_001bda28-243e-43d4-b062-4ca72a0471b2,female,FALSE,,,2,80,0,House,Hindmarsh Valley,5211,SA,1977-09-08,800,0-6 months,46,1,3,purebred,shepherd type,german shepherd,german shepherd,FALSE,0,2024-01-10 12:30:35,Afternoon (12:00 - 17:59),
exposure_003027db-4730-4f0c-9ead-313b6265e79d,male,TRUE,0-3 mo,TRUE,47,90,200,House,Stirling,5152,SA,1964-12-04,90200,3 years,59,1,1,unnamed cross,unknown,maltese cross,maltese cross,TRUE,0,2024-09-10 12:27:23,Afternoon (12:00 - 17:59),
exposure_00323881-4881-4119-828e-7d9b472b50bd,female,TRUE,1-2 yr,,36,90,100,House,Spring Gully,3550,VIC,1976-04-08,90100,3 years,47,1,3,unnamed cross,unknown,labrador retriever cross,labrador retriever cross,FALSE,0,2023-11-07 09:17:51,Morning (05:00 - 11:59),
exposure_0032d4a4-43e3-467f-9cc4-66505950a42b,male,FALSE,,FALSE,11,100,200,Apartment,Lidcombe,2141,NSW,1994-04-28,100200,7-12 months,30,1,1,purebred,brachycephalic,chihuahua,chihuahua,FALSE,0,2024-08-04 14:01:16,Afternoon (12:00 - 17:59),
exposure_003ca53f-1a3c-4e6d-8799-7a3412935150,male,FALSE,,,21,90,100,House,Huntingdale,6110,WA,1983-11-02,90100,1 years,40,1,3,cross,,miniature labradoodle,miniature labradoodle,FALSE,0,2024-03-06 15:44:15,Afternoon (12:00 - 17:59),
exposure_003cf5ba-b6c5-463e-a652-5850644f809c,female,FALSE,,FALSE,2,80,200,Apartment,Turner,2612,ACT,1996-12-08,80200,0-6 months,27,1,3,purebred,retriever,golden retriever,golden retriever,FALSE,0,2024-04-20 14:32:50,Afternoon (12:00 - 17:59),
